Query,Dimensione,Tempo prima esecuzione,Tempo delle 30 esecuzioni,Tempo medio,Intervallo di confidenza sup,Intervallo di confidenza inf
Query1,25%,67.72804260253906,27.60171890258789,0.6900429725646973,0.8080475872937386,0.5720383578356559
Query1,50%,4.260063171386719,35.36367416381836,0.884091854095459,0.9106514588119604,0.8575322493789576
Query1,75%,3.9496421813964844,45.702219009399414,1.1425554752349854,1.1838399036371279,1.1012710468328428
Query1,100%,4.024267196655273,63.58051300048828,1.589512825012207,2.1753641234209904,1.0036615266034237
Query2,25%,12.627363204956055,165.53997993469238,4.13849949836731,4.248161490851251,4.028837505883368
Query2,50%,9.683609008789062,266.56031608581543,6.664007902145386,7.44315984848631,5.884855955804461
Query2,75%,35.388946533203125,378.45373153686523,9.46134328842163,10.856053801279717,8.066632775563544
Query2,100%,15.501260757446289,514.6353244781494,12.865883111953735,15.524975088021785,10.206791135885686
Query3,25%,4.646778106689453,44.057607650756836,1.101440191268921,1.1813299204053507,1.0215504621324911
Query3,50%,5.616426467895508,42.12021827697754,1.0530054569244385,1.1046006968819517,1.0014102169669252
Query3,75%,5.072355270385742,60.46628952026367,1.5116572380065918,1.6115454033243026,1.411769072688881
Query3,100%,4.944801330566406,66.01548194885254,1.6503870487213135,1.7236004772415376,1.5771736202010893
Query4,25%,4.0073394775390625,33.24007987976074,0.8310019969940186,0.8760298379764238,0.7859741560116134
Query4,50%,4.634857177734375,55.450439453125,1.386260986328125,1.4571412264977415,1.3153807461585085
Query4,75%,5.097389221191406,62.32738494873047,1.5581846237182617,1.6435235844725444,1.472845662963979
Query4,100%,6.072282791137695,86.9910717010498,2.174776792526245,2.29258255413012,2.0569710309223703
