Query,Dimensione,Tempo prima esecuzione,Tempo delle 30 esecuzioni,Tempo medio,Intervallo di confidenza
Query1,25%,109.74264144897461,31.3262939453125,0.7831573486328125,"(0.6357343712920543, 0.9305803259735707)"
Query1,50%,6.144523620605469,37.586212158203125,0.9396553039550781,"(0.8722716227813995, 1.007038985128757)"
Query1,75%,8.276224136352539,47.86562919616699,1.1966407299041748,"(1.1230169649827904, 1.2702644948255593)"
Query1,100%,7.931709289550781,70.8456039428711,1.7711400985717773,"(1.1715080720746762, 2.3707721250688785)"
Query2,25%,19.83022689819336,158.73050689697266,3.9682626724243164,"(3.8495802036546203, 4.086945141194012)"
Query2,50%,35.034894943237305,270.4930305480957,6.762325763702393,"(5.879091475040906, 7.645560052363879)"
Query2,75%,89.28561210632324,439.2991065979004,10.98247766494751,"(9.345111244950516, 12.619844084944503)"
Query2,100%,78.77230644226074,597.2182750701904,14.93045687675476,"(11.821749471271868, 18.039164282237653)"
Query3,25%,39.93821144104004,35.75873374938965,0.8939683437347412,"(0.8046682907929724, 0.98326839667651)"
Query3,50%,53.86781692504883,48.05111885070801,1.2012779712677002,"(1.1202605871686497, 1.2822953553667507)"
Query3,75%,90.30556678771973,64.30602073669434,1.6076505184173584,"(1.5035726575043467, 1.7117283793303701)"
Query3,100%,115.60440063476562,67.2292709350586,1.6807317733764648,"(1.5550191013307042, 1.8064444454222255)"
Query4,25%,9.646177291870117,36.78607940673828,0.919651985168457,"(0.867845079734314, 0.9714588906026)"
Query4,50%,18.290042877197266,59.2348575592041,1.4808714389801025,"(1.3387256539672754, 1.6230172239929297)"
Query4,75%,32.91726112365723,65.17553329467773,1.6293883323669434,"(1.536362402475576, 1.7224142622583107)"
Query4,100%,48.00987243652344,85.91747283935547,2.1479368209838867,"(2.0157641019824335, 2.28010953998534)"
