Query,Dimensione,Tempo prima esecuzione,Tempo delle 30 esecuzioni,Tempo medio,Intervallo di confidenza sup,Intervallo di confidenza inf
Query1,25%,118.37220191955566,41.43857955932617,1.0359644889831543,1.3027400229288681,0.7691889550374403
Query1,50%,19.25969123840332,55.79209327697754,1.3948023319244385,1.675958962367348,1.1136457014815289
Query1,75%,18.02659034729004,74.51772689819336,1.862943172454834,2.605456191148767,1.1204301537609012
Query1,100%,7.919549942016602,78.09114456176758,1.9522786140441895,2.253211911903528,1.6513453161848508
Query2,25%,3.774881362915039,33.971548080444336,0.8492887020111084,0.9171670366283713,0.7814103673938455
Query2,50%,7.823944091796875,140.56897163391113,3.5142242908477783,4.117819169158865,2.910629412536692
Query2,75%,7.729768753051758,212.25810050964355,5.306452512741089,5.623514605160609,4.989390420321569
Query2,100%,9.617805480957031,234.18450355529785,5.854612588882446,7.042209186352065,4.6670159914128275
Query3,25%,4.6253204345703125,46.579837799072266,1.1644959449768066,1.308735168982232,1.0202567209713813
Query3,50%,4.951000213623047,56.45036697387695,1.4112591743469238,1.4871358119569211,1.3353825367369265
Query3,75%,4.717826843261719,80.73282241821289,2.0183205604553223,2.17321091971116,1.8634302011994843
Query3,100%,6.810188293457031,103.60503196716309,2.590125799179077,2.7701940470337965,2.410057551324358
Query4,25%,4.871368408203125,49.91602897644043,1.2479007244110107,1.4119262751446853,1.0838751736773362
Query4,50%,4.566669464111328,62.49380111694336,1.562345027923584,1.6613331006337517,1.4633569552134162
Query4,75%,6.206512451171875,100.49176216125488,2.512294054031372,2.6928361243963423,2.331751983666402
Query4,100%,24.569034576416016,126.69801712036133,3.167450428009033,3.3744812791480587,2.9604195768700077
